I,S,P
1500,38182,4.900028233361566
1501,54677,7.016888683555349
1502,53682,6.8891968891968896
1503,58471,7.50378583711917
1504,81618,10.474320474320477
1505,57716,7.40689407356074
1506,48514,6.225969559302893
1507,60774,7.799337799337798
1508,66155,8.489900156566824
1509,57063,7.3230923230923235
1510,60817,7.804856138189472
1511,66184,8.493621826955161
1512,48405,6.211981211981211
1513,41276,5.297091963758628
1514,43364,5.565052231718899
1515,44461,5.7058340391673745
1516,41987,5.3883370550037215
1517,51336,6.588126588126589
1518,27646,3.5479068812402144
1519,36833,4.726906393573061
1520,51216,6.572726572726574
1521,48542,6.229562896229563
1522,50077,6.426554759888092
1523,42478,5.451348784682119
1524,45403,5.826724160057492
1525,54884,7.04345371012038
1526,48012,6.161546161546161
1527,45962,5.898462565129231
1528,64469,8.273529940196607
1529,54008,6.931033597700263
1530,64345,8.257616590949926
1531,34180,4.3864377197710525
1532,47519,6.098277764944429
1533,65322,8.382998382998384
1534,41025,5.264880264880264
1535,47317,6.072354405687737
1536,58059,7.450912450912452
1537,39820,5.110238443571777
1538,36292,4.6574779908113255
1539,42130,5.406688740022073
1600,87249,11.1969661969662
1601,59755,7.668566001899335
1602,63909,8.201663201663202
1603,70596,9.059829059829056
1604,53709,6.892661892661892
1605,36592,4.695978029311363
1606,51713,6.6365083031749705
1607,58416,7.496727496727495
1608,46968,6.027566027566029
1609,60690,7.78855778855779
1610,65300,8.380175046841714
1611,64371,8.260953260953261
1612,43471,5.578783912117245
1613,51495,6.608531608531608
1614,53571,6.874951874951874
1615,62790,8.058058058058059
1616,73315,9.408767742101075
1617,53204,6.82785349452016
1618,69994,8.982572315905651
1619,74973,9.621544621544624
1620,50381,6.4655681322348
1621,57438,7.371217371217372
1622,59059,7.579245912579245
1623,64436,8.269294935961604
1624,80585,10.341752008418668
1625,45924,5.893585893585893
1626,51634,6.626369959703293
1627,68831,8.833320499987169
1628,46200,5.929005929005928
1629,48457,6.2186545519878855
1630,51734,6.639203305869973
1631,68128,8.74310207643541
1632,51820,6.650239983573319
1633,50033,6.4209080875747535
1700,85823,11.013962680629344
1701,79031,10.142321808988477
1702,69798,8.95741895741896
1703,54452,6.988013654680321
1704,57853,7.42447575780909
1705,72843,9.348194348194346
1706,42766,5.488308821642153
1707,55103,7.071558738225403
1708,73027,9.371807705141038
1709,55520,7.125073791740459
1710,62167,7.978106311439644
1711,57670,7.4009907343240675
1712,50368,6.463899797233133
1713,61641,7.910602910602912
1714,69348,8.899668899668901
1715,62666,8.042144708811373
1716,86782,11.137034470367803
1717,56177,7.2093888760555425
1718,53950,6.923590256923587
1719,72868,9.35140268473602
1720,82333,10.566078899412231
1800,69689,8.943430610097279
1801,85586,10.98354765021432
1802,93634,12.016375349708685
1803,87607,11.24290957624291
1804,68216,8.75439542106209
1805,62521,8.023536356869691
1806,62129,7.973229639896306
1807,63377,8.133389800056468
1808,66785,8.570750237416906
1809,42629,5.470727137393808
1810,55616,7.137393804060468
1811,64698,8.302918302918304
1812,41490,5.324555324555325
1813,52013,6.675008341675007
1814,53057,6.808988475655142
1815,46193,5.9281075947742625
1816,56537,7.255588922255589
1817,54202,6.955930289263625
1818,49326,6.33017633017633
1819,56262,7.22029722029722
1820,45149,5.794127460794124
1900,33105,4.248479248479248
1901,31793,4.0801057467724124
1902,35813,4.5960062626729306
1903,29408,3.7740304406971092
1904,55085,7.0692487359154015
1905,79817,10.243191909858576
1906,36283,4.656322989656323
1907,49291,6.325684659017995
1908,63738,8.17971817971818
1909,73389,9.41826441826442
1910,87139,11.182849516182847
1911,55328,7.1004337671004345
1912,43390,5.568388901722233
1913,63830,8.191524858191526
1914,46099,5.916044249377582
1915,33862,4.345627678961012
1916,35079,4.501809501809503
1917,44223,5.675290675290678
1918,39891,5.119350119350117
1919,50031,6.420651420651421
1920,43025,5.521547188213855
2000,48583,6.234824568157902
2001,55331,7.100818767485435
2002,53846,6.910243576910242
2003,45274,5.810169143502479
2004,38189,4.900926567593236
2005,41210,5.2886219552886224
2006,70454,9.041605708272376
2007,61899,7.943712943712943
2008,56264,7.220553887220553
