I,H,S,P
601 , 433 , 26885 , 6.972757357899433
602 , 213 , 26309 , 6.823368916830062
603 , 437 , 25880 , 6.712105650825266
604 , 375 , 25607 , 6.641301754276762
605 , 356 , 25761 , 6.681242413868226
606 , 383 , 26147 , 6.7813534177792985
607 , 434 , 26367 , 6.838411502909962
608 , 383 , 26674 , 6.9180334671604795
609 , 207 , 27028 , 7.0098451132343635
610 , 207 , 27100 , 7.028518668368036
611 , 207 , 27261 , 7.070274812486383
612 , 437 , 27837 , 7.219663253555755
613 , 448 , 28054 , 7.275943273889182
614 , 409 , 28359 , 7.355046528274875
615 , 415 , 28680 , 7.438299461579159
616 , 242 , 28455 , 7.379944601786435
617 , 242 , 28116 , 7.292023279698734
618 , 242 , 27842 , 7.220960028217816
619 , 354 , 27675 , 7.177647754504994
620 , 382 , 27594 , 7.156640004979614
621 , 247 , 26950 , 6.9896154285062195
622 , 251 , 26922 , 6.982353490398681
623 , 362 , 27236 , 7.063790939176082
624 , 223 , 27947 , 7.248192296121087
625 , 274 , 28137 , 7.297469733279385
626 , 255 , 28392 , 7.363605241044477
627 , 377 , 28327 , 7.346747170437689
628 , 392 , 28246 , 7.325739420912309
629 , 242 , 27999 , 7.2616787526065165
630 , 187 , 27910 , 7.23859616362184
631 , 430 , 27289 , 7.077536750593922
632 , 443 , 27105 , 7.0298154430300945
633 , 435 , 27167 , 7.0458954488396435
634 , 383 , 27586 , 7.154565165520318
635 , 182 , 27988 , 7.258825848349986
636 , 390 , 28343 , 7.350896849356282
637 , 326 , 28448 , 7.378129117259553
638 , 257 , 28464 , 7.382278796178145
639 , 435 , 28296 , 7.338707167532913
640 , 69 , 27768 , 7.201767763219322
641 , 88 , 27659 , 7.173498075586401
642 , 247 , 26914 , 6.980278650939382
643 , 254 , 26921 , 6.982094135466267
644 , 375 , 27163 , 7.044858029109997
645 , 420 , 27593 , 7.156380650047201
646 , 269 , 27907 , 7.2378180988246035
647 , 242 , 28226 , 7.3205523222640645
648 , 222 , 28357 , 7.354527818410049
649 , 421 , 28542 , 7.402508480906289
650 , 392 , 28484 , 7.387465894826389
651 , 431 , 28108 , 7.289948440239438
652 , 273 , 27471 , 7.124739348292926
653 , 264 , 27394 , 7.104769018497192
654 , 208 , 26920 , 6.981834780533856
655 , 435 , 26335 , 6.830112145072776
656 , 377 , 26113 , 6.772535350077288
657 , 408 , 25739 , 6.675536605355162
658 , 288 , 25639 , 6.64960111211395
659 , 402 , 26134 , 6.777981803657944
660 , 341 , 26289 , 6.818181818181818
661 , 328 , 26330 , 6.828815370410716
